genre,count
International Movies,2752
Dramas,2426
Comedies,1674
Documentaries,869
Action,859
Adventure,859
Independent Movies,756
Children,641
Family Movies,641
Romantic Movies,616
Thrillers,577
Music,375
Musicals,375
Horror Movies,357
Stand-Up Comedy,343
Sci-Fi,243
Fantasy,243
Sports Movies,219
Classic Movies,116
LGBTQ Movies,102
Anime Features,71
Cult Movies,71
Faith,65
Spirituality,65
Movies,53
